DOPs,Año,País,Ventas
Lebrija,2021,Alemania,0
León,2021,Alemania,41
Los Balagueses,2021,Alemania,7
Málaga,2021,Alemania,234
Manchuela,2021,Alemania,587
Manzanilla S.B.,2021,Alemania,289
Méntrida,2021,Alemania,757
Mondéjar,2021,Alemania,0
Monterrei,2021,Alemania,640
Montilla-Moriles,2021,Alemania,249
Montsant,2021,Alemania,2546
Navarra,2021,Alemania,18647
Pago de Arínzano,2021,Alemania,0
Pago de Otazu,2021,Alemania,2
Pago El Vicario,2021,Alemania,18
Pago Florentino,2021,Alemania,15
Pago La Jaraba,2021,Alemania,23
Pago Los Cerrillos,2021,Alemania,0
Pago Vallegarcía,2021,Alemania,146
Penedés,2021,Alemania,3886
Pla de Bages,2021,Alemania,53
Pla i Llevant,2021,Alemania,501
Prado de Irache,2021,Alemania,0
Priorat,2021,Alemania,1106
Rías Baixas,2021,Alemania,2515
Ribeira Sacra,2021,Alemania,97
Ribeiro,2021,Alemania,2118
Ribera del Duero,2021,Alemania,12812
Ribera del Guadiana,2021,Alemania,952
Ribera del Júcar,2021,Alemania,140
Rioja,2021,Alemania,125572
Rueda,2021,Alemania,20257
Sierra de Salamanca,2021,Alemania,19
Sierras de Málaga,2021,Alemania,31
Somontano,2021,Alemania,3736
Tacoronte-Acentejo,2021,Alemania,42
Tarragona,2021,Alemania,527
Terra Alta,2021,Alemania,1042
Tierra del Vino de Zamora,2021,Alemania,17
Toro,2021,Alemania,6115
Uclés,2021,Alemania,152
Utiel-Requena,2021,Alemania,9751
Valdeorras,2021,Alemania,169
Valdepeñas,2021,Alemania,31114
Valencia,2021,Alemania,31466
Valle de Güímar,2021,Alemania,0
Valle de la Orotava,2021,Alemania,97
Valles de Benavente,2021,Alemania,216
Valtiendas,2021,Alemania,0
Vera de Estenas,2021,Alemania,1
Vinos de Madrid,2021,Alemania,483
Ycoden-Daute-Isora,2021,Alemania,12
Yecla,2021,Alemania,7475
Abona,2020,Alemania,0
Alella,2020,Alemania,84
Alicante,2020,Alemania,6397
Almansa,2020,Alemania,3035
Arlanza,2020,Alemania,15
Arribes,2020,Alemania,9
Aylés,2020,Alemania,51
Bierzo,2020,Alemania,1908
Binissalem,2020,Alemania,284
Bullas,2020,Alemania,774
Calatayud,2020,Alemania,1948
Calzadilla,2020,Alemania,31
Campo de Borja,2020,Alemania,8139
Campo de la Guardia,2020,Alemania,38
Cangas,2020,Alemania,0
Cariñena,2020,Alemania,45713
Casa del Blanco,2020,Alemania,0
Cataluña,2020,Alemania,14421
Cava,2020,Alemania,223974
Cebreros,2020,Alemania,1
Chacolí de Álava,2020,Alemania,20
Chacolí de Bizkaia,2020,Alemania,26
Chacolí de Getaria,2020,Alemania,61
Cigales,2020,Alemania,498
Conca de Barberá,2020,Alemania,55
Condado de Huelva,2020,Alemania,3
Costers del Segre,2020,Alemania,265
Dehesa del Carrizal,2020,Alemania,26
Dominio de Valdepusa,2020,Alemania,114
El Hierro,2020,Alemania,0
El Terrerazo,2020,Alemania,15
Empordà,2020,Alemania,337
Finca Élez,2020,Alemania,0
Gran Canaria,2020,Alemania,0
Granada,2020,Alemania,38
Guijoso,2020,Alemania,0
Islas Canarias,2020,Alemania,9
Jerez-Xérès-Sherry,2020,Alemania,16384
Jumilla,2020,Alemania,16770
La Gomera,2020,Alemania,0
La Mancha,2020,Alemania,38703
La Palma,2020,Alemania,8
Lanzarote,2020,Alemania,8
Lebrija,2020,Alemania,0
León,2020,Alemania,3
Los Balagueses,2020,Alemania,10
Málaga,2020,Alemania,539
Manchuela,2020,Alemania,835
Manzanilla S.B.,2020,Alemania,214
Méntrida,2020,Alemania,74
Mondéjar,2020,Alemania,0
Monterrei,2020,Alemania,480
Montilla-Moriles,2020,Alemania,295
Montsant,2020,Alemania,2203
Navarra,2020,Alemania,16294
Pago de Arínzano,2020,Alemania,0
Pago de Otazu,2020,Alemania,0
Pago El Vicario,2020,Alemania,24
Pago Florentino,2020,Alemania,19
Pago La Jaraba,2020,Alemania,0
Pago Los Cerrillos,2020,Alemania,0
Pago Vallegarcía,2020,Alemania,11
Penedés,2020,Alemania,4207
Pla de Bages,2020,Alemania,41
Pla i Llevant,2020,Alemania,516
Prado de Irache,2020,Alemania,0
Priorat,2020,Alemania,1336
Rías Baixas,2020,Alemania,4368
Ribeira Sacra,2020,Alemania,95
Ribeiro,2020,Alemania,2158
Ribera del Duero,2020,Alemania,10564
Ribera del Guadiana,2020,Alemania,613
Ribera del Júcar,2020,Alemania,234
Rioja,2020,Alemania,126413
Rueda,2020,Alemania,21210
Sierra de Salamanca,2020,Alemania,85
Sierras de Málaga,2020,Alemania,31
Somontano,2020,Alemania,3497
Tacoronte-Acentejo,2020,Alemania,7
Tarragona,2020,Alemania,230
Terra Alta,2020,Alemania,2227
Tierra del Vino de Zamora,2020,Alemania,25
Toro,2020,Alemania,7217
Uclés,2020,Alemania,1768
Utiel-Requena,2020,Alemania,8463
Valdeorras,2020,Alemania,93
Valdepeñas,2020,Alemania,41718
Valencia,2020,Alemania,32197
Valle de Güímar,2020,Alemania,0
Valle de la Orotava,2020,Alemania,27
Valles de Benavente,2020,Alemania,273
Valtiendas,2020,Alemania,7
Vinos de Madrid,2020,Alemania,294
Ycoden-Daute-Isora,2020,Alemania,17
Yecla,2020,Alemania,6798
Abona,2019,Alemania,0
Alella,2019,Alemania,84
Alicante,2019,Alemania,9003
Almansa,2019,Alemania,3131
Arlanza,2019,Alemania,7
Arribes,2019,Alemania,3
Aylés,2019,Alemania,46
Bierzo,2019,Alemania,3311
Binissalem,2019,Alemania,440
Bullas,2019,Alemania,94
Calatayud,2019,Alemania,4273
Calzadilla,2019,Alemania,41
Campo de Borja,2019,Alemania,8082
Campo de la Guardia,2019,Alemania,68
Cangas,2019,Alemania,0
Cariñena,2019,Alemania,44153
Casa del Blanco,2019,Alemania,3
Cataluña,2019,Alemania,17193
Cava,2019,Alemania,230037
Cebreros,2019,Alemania,7
Chacolí de Álava,2019,Alemania,6
Chacolí de Bizkaia,2019,Alemania,13
Chacolí de Getaria,2019,Alemania,62
Cigales,2019,Alemania,413
Conca de Barberá,2019,Alemania,91
Condado de Huelva,2019,Alemania,0
Costers del Segre,2019,Alemania,632
Dehesa del Carrizal,2019,Alemania,24
Dominio de Valdepusa,2019,Alemania,562
El Hierro,2019,Alemania,0
El Terrerazo,2019,Alemania,19
Empordà,2019,Alemania,360
Finca Élez,2019,Alemania,0
Gran Canaria,2019,Alemania,0
Granada,2019,Alemania,49
Guijoso,2019,Alemania,0
Islas Canarias,2019,Alemania,10
Jerez-Xérès-Sherry,2019,Alemania,15234
Jumilla,2019,Alemania,14514
La Gomera,2019,Alemania,0
La Mancha,2019,Alemania,39394
La Palma,2019,Alemania,7
Lanzarote,2019,Alemania,0
Lebrija,2019,Alemania,0
León,2019,Alemania,5
Los Balagueses,2019,Alemania,21
Málaga,2019,Alemania,481
Manchuela,2019,Alemania,782
Manzanilla S.B.,2019,Alemania,300
Méntrida,2019,Alemania,55
Mondéjar,2019,Alemania,0
Monterrei,2019,Alemania,83
Montilla-Moriles,2019,Alemania,577
Montsant,2019,Alemania,2228
Navarra,2019,Alemania,16066
Pago de Arínzano,2019,Alemania,0
Pago de Otazu,2019,Alemania,1
Pago Florentino,2019,Alemania,17
Penedés,2019,Alemania,5448
Pla de Bages,2019,Alemania,83
Pla i Llevant,2019,Alemania,1302
Prado de Irache,2019,Alemania,0
Priorat,2019,Alemania,1342
Rías Baixas,2019,Alemania,4707
Ribeira Sacra,2019,Alemania,39
Ribeiro,2019,Alemania,4523
Ribera del Duero,2019,Alemania,9850
Ribera del Guadiana,2019,Alemania,582
Ribera del Júcar,2019,Alemania,232
Rioja,2019,Alemania,133574
Rueda,2019,Alemania,16259
Sierra de Salamanca,2019,Alemania,60
Sierras de Málaga,2019,Alemania,36
Somontano,2019,Alemania,3836
Tacoronte-Acentejo,2019,Alemania,53
Tarragona,2019,Alemania,268
Terra Alta,2019,Alemania,0
Tierra del Vino de Zamora,2019,Alemania,33
Toro,2019,Alemania,6305
Uclés,2019,Alemania,1669
Utiel-Requena,2019,Alemania,9135
Valdeorras,2019,Alemania,87
Valdepeñas,2019,Alemania,39456
Valencia,2019,Alemania,49048
Valle de Güímar,2019,Alemania,0
Valle de la Orotava,2019,Alemania,53
Valles de Benavente,2019,Alemania,275
Valtiendas,2019,Alemania,0
Vinos de Madrid,2019,Alemania,421
Ycoden-Daute-Isora,2019,Alemania,5
Yecla,2019,Alemania,7508
Abona,2018,Alemania,0
Alella,2018,Alemania,84
Alicante,2018,Alemania,9167
Almansa,2018,Alemania,2029
Arlanza,2018,Alemania,21
Arribes,2018,Alemania,5
Aylés,2018,Alemania,79
Bierzo,2018,Alemania,3378
Binissalem,2018,Alemania,373
Bullas,2018,Alemania,476
Calatayud,2018,Alemania,1222
Calzadilla,2018,Alemania,36
Campo de Borja,2018,Alemania,9006
Campo de la Guardia,2018,Alemania,55
Cangas,2018,Alemania,0
Cariñena,2018,Alemania,57150
Casa del Blanco,2018,Alemania,0
Cataluña,2018,Alemania,19393
Cava,2018,Alemania,237805
Chacolí de Álava,2018,Alemania,5
Chacolí de Bizkaia,2018,Alemania,20
Chacolí de Getaria,2018,Alemania,57
Cigales,2018,Alemania,713
Conca de Barberá,2018,Alemania,66
Condado de Huelva,2018,Alemania,1
Costers del Segre,2018,Alemania,616
Dehesa del Carrizal,2018,Alemania,42
Dominio de Valdepusa,2018,Alemania,652
El Hierro,2018,Alemania,0
El Terrerazo,2018,Alemania,63
Empordà,2018,Alemania,459
Finca Élez,2018,Alemania,100
Gran Canaria,2018,Alemania,0
Granada,2018,Alemania,56
Guijoso,2018,Alemania,0
Islas Canarias,2018,Alemania,5
Jerez-Xérès-Sherry,2018,Alemania,17813
Jumilla,2018,Alemania,15468
La Gomera,2018,Alemania,0
La Mancha,2018,Alemania,46529
La Palma,2018,Alemania,8
Lanzarote,2018,Alemania,0
Lebrija,2018,Alemania,0
Los Balagueses,2018,Alemania,8
Málaga,2018,Alemania,753
Manchuela,2018,Alemania,1931
Manzanilla S.B.,2018,Alemania,196
Méntrida,2018,Alemania,84
Mondéjar,2018,Alemania,0
Monterrei,2018,Alemania,205
Montilla-Moriles,2018,Alemania,682
Montsant,2018,Alemania,2392
Navarra,2018,Alemania,20238
Pago de Arínzano,2018,Alemania,9
Pago de Otazu,2018,Alemania,0
Pago Florentino,2018,Alemania,16
Penedés,2018,Alemania,5380
Pla de Bages,2018,Alemania,83
Pla i Llevant,2018,Alemania,2231
Prado de Irache,2018,Alemania,0
Priorat,2018,Alemania,2033
Rías Baixas,2018,Alemania,3248
Ribeira Sacra,2018,Alemania,31
Ribeiro,2018,Alemania,772
Ribera del Duero,2018,Alemania,11042
Ribera del Guadiana,2018,Alemania,612
Ribera del Júcar,2018,Alemania,281
Rioja,2018,Alemania,152037
Rueda,2018,Alemania,18918
Sierra de Salamanca,2018,Alemania,95
Sierras de Málaga,2018,Alemania,52
Somontano,2018,Alemania,4797
Tacoronte-Acentejo,2018,Alemania,53
Tarragona,2018,Alemania,313
Terra Alta,2018,Alemania,1254
Tierra de León,2018,Alemania,355
Tierra del Vino de Zamora,2018,Alemania,40
Toro,2018,Alemania,6777
Uclés,2018,Alemania,1526
Utiel-Requena,2018,Alemania,8586
Valdeorras,2018,Alemania,130
Valdepeñas,2018,Alemania,40385
Valencia,2018,Alemania,62217
Valle de Güímar,2018,Alemania,0
Valle de la Orotava,2018,Alemania,10
Valles de Benavente,2018,Alemania,281
Valtiendas,2018,Alemania,9
Vinos de Madrid,2018,Alemania,739
Ycoden-Daute-Isora,2018,Alemania,4
Yecla,2018,Alemania,10914
Abona,2017,Alemania,0
Alella,2017,Alemania,0
Alicante,2017,Alemania,8305
Almansa,2017,Alemania,5982
Arlanza,2017,Alemania,12
Arribes,2017,Alemania,14
Aylés,2017,Alemania,49
Bierzo,2017,Alemania,3328
Binissalem,2017,Alemania,806
Bullas,2017,Alemania,314
Calatayud,2017,Alemania,2348
Calzadilla,2017,Alemania,69
Campo de Borja,2017,Alemania,6311
Campo de la Guardia,2017,Alemania,17
Cangas,2017,Alemania,0
Cariñena,2017,Alemania,65388
Casa del Blanco,2017,Alemania,8
Cataluña,2017,Alemania,24683
Cava,2017,Alemania,230998
Chacolí de Álava,2017,Alemania,0
Chacolí de Bizkaia,2017,Alemania,21
Chacolí de Getaria,2017,Alemania,25
Cigales,2017,Alemania,305
Conca de Barberá,2017,Alemania,76
Condado de Huelva,2017,Alemania,0
Costers del Segre,2017,Alemania,1541
Dehesa del Carrizal,2017,Alemania,19
Dominio de Valdepusa,2017,Alemania,511
El Hierro,2017,Alemania,0
El Terrerazo,2017,Alemania,55
Empordà,2017,Alemania,518
Finca Élez,2017,Alemania,97
Gran Canaria,2017,Alemania,0
Granada,2017,Alemania,7
Guijoso,2017,Alemania,0
Islas Canarias,2017,Alemania,7
Jerez-Xérès-Sherry,2017,Alemania,20516
Jumilla,2017,Alemania,14869
La Gomera,2017,Alemania,0
La Mancha,2017,Alemania,42287
La Palma,2017,Alemania,2
Lanzarote,2017,Alemania,7
Lebrija,2017,Alemania,0
Los Balagueses,2017,Alemania,9
Málaga,2017,Alemania,732
Manchuela,2017,Alemania,787
Manzanilla S.B.,2017,Alemania,208
Méntrida,2017,Alemania,847
Mondéjar,2017,Alemania,0
Monterrei,2017,Alemania,462
Montilla-Moriles,2017,Alemania,426
Montsant,2017,Alemania,2452
Navarra,2017,Alemania,23412
Pago de Arínzano,2017,Alemania,8
Pago de Otazu,2017,Alemania,1
Pago Florentino,2017,Alemania,31
Penedés,2017,Alemania,6131
Pla de Bages,2017,Alemania,92
Pla i Llevant,2017,Alemania,1173
Prado de Irache,2017,Alemania,0
Priorat,2017,Alemania,2129
Rías Baixas,2017,Alemania,1984
Ribeira Sacra,2017,Alemania,29
Ribeiro,2017,Alemania,4316
Ribera del Duero,2017,Alemania,17617
Ribera del Guadiana,2017,Alemania,103
Ribera del Júcar,2017,Alemania,635
Rioja,2017,Alemania,167555
Rueda,2017,Alemania,11270
Sierra de Salamanca,2017,Alemania,80
Sierras de Málaga,2017,Alemania,40
Somontano,2017,Alemania,6954
Tacoronte-Acentejo,2017,Alemania,11
Tarragona,2017,Alemania,179
Terra Alta,2017,Alemania,1093
Tierra de León,2017,Alemania,1
Tierra del Vino de Zamora,2017,Alemania,60
