DOPs;Año;Alemania;Austria;Bélgica;Bulgaria;Chipre;Croacia;Dinamarca;Eslovaquia;Eslovenia;Estonia;Finlandia;Francia;Grecia;Holanda;Hungria;Irlanda;Italia;Letonia;Lituania;Luxemburgo;Malta;Polonia;Portugal;Repùblica Checa;Rumania;Suecia;Noruega;Suiza;Reino Unido;Rusia;Resto Europa no E.U.;Argentina;Brasil;Canadá;Colombia;EE.UU.;México;Venezuela;Resto América;Corea;China;India;Japón;Resto Asia;Australia;Resto Oceanía;Resto países;Blanco;Rosado;Tinto;De licor;Espumoso;Deaguja;Otros;€/hl
Manchuela;2023;491;6;101;0;0;0;97;0;0;30;12;83;0;611;23;54;1120;0;576;9;0;104;0;74;239;25;5;184;340;124;32;0;44;2299;0;681;24;0;220;30;1618;0;143;36;79;0;14;2874;733;5865;0;56;0;0;350
Manzanilla S.B.;2023;148;4;321;0;0;2;20;0;0;2;16;278;6;352;0;18;6;8;93;0;1;13;4;2;0;92;15;32;1719;6;39;2;48;38;6;527;61;0;16;5;17;0;244;29;84;5;8;0;0;0;4287;0;0;0;361
Méntrida;2023;59;7;16;0;0;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;0;0;0;0;0;8;9;58;19;40;0;0;0;42;19;29;8;0;24;9;9;0;10;33;0;0;4;24;4;389;0;0;0;0;335,41247
Mondéjar;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monterrei;2023;32;2;17;0;0;0;48;0;0;9;12;14;0;58;0;71;0;0;6;0;4;2;0;0;0;13;9;221;4088;32;29;0;0;0;32;3886;57;0;65;0;2;0;8;28;1;2;0;6785;0;1963;0;0;0;0;474
Montilla-Moriles;2023;181;37;31;1;0;0;233;0;0;0;0;64;0;609;0;14;84;7;100;1;1;15;5;1415;0;18;6;12;180;1;74;0;0;179;6;220;3;0;1797;33;24;0;40;35;82;2;3;2052;0;0;3461;0;0;0;516,6707782
Montsant;2023;1278;68;733;3;0;0;103;0;0;9;22;331;7;247;29;20;9;216;29;27;0;117;14;21;7;1824;16;515;196;139;130;0;34;541;19;1615;21;0;108;24;136;0;161;181;21;8;4;703;600;7643;37;0;0;0;763,4190137
Navarra;2023;12135;263;1502;223;0;0;405;248;68;12;1505;2156;14;5081;12;974;18;663;500;48;57;1500;25;184;558;1362;2135;4914;8892;1093;626;0;567;4279;105;4096;1419;109;530;186;6470;0;1175;1716;99;46;81;14833;9315;43840;63;0;0;0;141,382757
Pago de Arínzano;2023;1158;11;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;44;35;0;0;77;0;50;0;0;0;314;0;0;5;21;19;0;0;671;0;0;0;150;0;0;0;131;0;0;0;471;293;1925;0;0;0;0;530,9799182
Pago de Otazu;2023;3;0;9;0;0;0;0;1;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;2;0;3;0;12;4;0;2;0;0;20;18;2;19;4;5;0;14;0;0;0;2;0;0;17;1;121;0;0;0;0;1065,395683
Pago El Vicario;2023;0;0;73;0;0;0;50;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;2;0;0;18;0;0;0;0;29;0;6;157;11;0;0;10;73;0;8;0;0;0;0;238;21;217;0;0;0;0;745,0105042
Pago Florentino;2023;9;0;0;0;1;0;5;0;0;1;0;6;0;5;0;0;0;1;0;0;0;5;0;0;0;2;0;6;5;0;7;0;1;6;0;22;0;0;20;0;6;0;11;19;0;0;0;0;0;138;0;0;0;0;880,3913043
Pago La Jaraba;2023;110;17;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;6;0;7;10;0;46;0;0;231;0;0;0;108;6;0;0;0;0;0;557;0;0;0;0;408,6840215
Pago Los Cerrillos;2023;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;290;0;1;0;0;0;0;0;0;313;0;0;0;0;800,3194888
Pago Vallegarcía;2023;86;0;4;0;0;0;1;0;0;0;0;30;0;12;0;0;0;0;0;0;0;2;0;7;0;11;3;87;3;0;0;0;0;0;0;16;10;0;2;0;187;0;0;0;0;0;0;52;0;409;0;0;0;0;1515,809111
Penedés;2023;3483;59;854;22;9;5;788;16;0;93;1045;296;17;1450;29;179;98;216;264;39;11;302;19;143;59;4752;1043;333;708;855;835;0;785;6928;31;2907;1013;2;972;247;738;9;966;943;100;35;1142;14546;2471;13928;0;3885;10;0;1035,268111
